IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt4354880,Mr. Mercedes,series,2017–,USA,"Mystery, Sci-Fi, Thriller",3 nominations.,NA,TV-MA,N/A,7.9,"12,895"
tt5798078,Dimension 404,series,2017–,USA,"Adventure, Comedy, Drama, Horror, Mystery, Romance, Sci-Fi",3 nominations.,NA,TV-14,N/A,6.6,"1,923"
tt5780592,Locke and Key,series,2016–,USA,Fantasy,N/A,NA,N/A,N/A,N/A,N/A
tt0320691,Underworld,movie,2003,"USA, UK, Germany, Hungary","Action, Fantasy, Thriller",1 win & 9 nominations.,Sony Screen Gems,R,42,7.0,"242,295"
tt8427140,Into the Dark,series,2018–,USA,"Horror, Thriller",N/A,NA,TV-MA,N/A,6.3,"2,371"
tt0100814,Tremors,movie,1990,USA,"Comedy, Horror",5 nominations.,MCA/Universal Pictures,PG-13,65,7.1,"110,483"
tt0093437,The Lost Boys,movie,1987,USA,"Comedy, Horror",3 wins & 5 nominations.,Warner Bros. Pictures,R,63,7.3,"114,690"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1139797,Let the Right One In,movie,2008,Sweden,"Drama, Horror, Romance",Nominated for 1 BAFTA Film Award. Another 72 wins & 51 nominations.,Magnet/Magnolia Pictures,R,82,7.9,"197,440"
tt0088478,Amazing Stories,series,1985–1987,USA,"Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Won 5 Primetime Emmys. Another 3 wins & 11 nominations.,NA,PG,N/A,7.4,"4,618"
tt0052520,The Twilight Zone,series,1959–1964,USA,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Won 1 Golden Globe. Another 8 wins & 12 nominations.,NA,TV-PG,N/A,9.0,"63,947"
tt1733139,Hack/Slash,movie,2018,USA,"Animation, Action, Horror",N/A,N/A,N/A,N/A,N/A,N/A
tt5194792,NOS4A2,series,2019–,USA,"Drama, Fantasy, Horror, Mystery",N/A,NA,TV-14,N/A,6.7,"4,274"
tt1996310,Lore,movie,2012,"Germany, Australia, UK","Drama, Romance, War",34 wins & 35 nominations.,Music Box Films,Not Rated,76,7.1,"13,561"
