Red Planet ,,
Redakai: Conquer the Kairu a.k.a. Redakai ,,
Redman ,,
Return to Jupiter ,,
Road Rovers ,,
Roboroach ,,
Robotboy ,,
Robotech ,,
Codename: Robotech ,,
Robotech II: The Sentinels ,,
Robotix ,,
Rocket Robin Hood ,,
Rocketship 7 ,,
Rod Rocket ,,
RollBots ,,
Roughnecks: Starship Troopers Chronicles ,,
Saber Marionette ,,
Saber Marionette J ,,
Saber Marionette J to X ,,
Saber Rider and the Star Sheriffs ,,
Samurai Jack ,,
Savage Dragon ,,
Secret of Cerulean Sand ,,
"Secret Saturdays, The ",,
"Secret Service, The ",,
"Secret World of Alex Mack, The ",,
"Secrets of Isis, The ",,
Sectaurs ,,
Shadow Raiders ,,
Shazam! ,,
Sherlock Holmes in the 22nd Century ,,
Sherlock Hound ,,
Silver Surfer ,,
SilverHawks ,,
Silversun ,,
Sky Commanders ,,
"Skyland a.k.a. Skyland, The New World a.k.a. Skyland, Le Nouveau Monde ",,
SKYSURFER Strike Force ,,
Slugterra ,,
Small Wonder ,,
Snorks ,,
So Weird ,,
Sonic the Hedgehog ,,
Adventures of Sonic the Hedgehog a.k.a. AoStH ,,
Sonic the Hedgehog: The Animated Series a.k.a. Sonic SatAM a.k.a. SatAM ,,
Sonic Underground a.k.a. Sonic le Rebelle ,,
Sonic X ,,
Space Academy ,,
Space Ace ,,
Space Angel ,,
Space Battleship Yamato a.k.a. Space Cruiser Yamato ,,
Space Battleship Yamato ,,
Space Battleship Yamato II ,,
Yamato: The New Voyage a.k.a. Bon Voyage Yamato ,,
Star Blazers ,,
Space Battleship Yamato III ,,
Space Battleship Yamato 2199 ,,
Space Carrier Blue Noah a.k.a. Thundersub ,,
Space Cases ,,
Space Command ,,
"Space Kidettes, The ",,
Space Patrol ,,
Space Runaway Ideon ,,
Space Sentinels a.k.a. The Young Sentinels ,,
Space Stars ,,
"Herculoids, The ",,
Astro and the Space Mutts ,,
Space Ghost ,,
Space Ghost Coast to Coast a.k.a. SGC2C ,,
Teen Force ,,
Cartoon Planet ,,
Spaced Out ,,
Spadla z oblakov a.k.a. She Came Out of the Blue Sky ,,
"Spartakus and the Sun Beneath the Sea a.k.a. Mondes Engloutis, Les ",,
"Sparticle Mystery, The ",,
Speed Racer ,,
"New Adventures of Speed Racer, The ",,
Speed Racer X ,,
Speed Racer: The Next Generation ,,
Spellbinder ,,
Spider Riders ,,
Spider-Man ,,
"Spectacular Spider-Man, The ",,
Spider-Woman ,,
Spider-Man and His Amazing Friends ,,
Spider-man Unlimited ,,
Spider-Man: The Animated Series ,,
Spider-Man: The New Animated Series ,,
Spidey Super Stories ,,
Ultimate Spider-Man ,,
Spiral Zone ,,
Spliced ,,
SpongeBob SquarePants ,,
Stargate Infinity a.k.a. SGI a.k.a. Infinity ,,
Star Wars ,,
"Star Wars Holiday Special, The ",,
Caravan of Courage: An Ewok Adventure ,,
Star Wars: Droids ,,
Star Wars: Ewoks ,,
Ewoks: The Battle for Endor ,,
The Great Heep ,,
